15	11	E	-1.0139728251552261E7	134
emissionprobs	6	8	H3K4me3	0	0.9984268540351644
emissionprobs	6	8	H3K4me3	1	0.0015731459648356165
emissionprobs	6	9	H3K9ac	0	0.9803389549117231
emissionprobs	6	9	H3K9ac	1	0.019661045088276954
emissionprobs	6	10	H4K20me1	0	0.9746018625891559
emissionprobs	6	10	H4K20me1	1	0.025398137410844047
emissionprobs	7	0	CTCF	0	0.9427290471739043
emissionprobs	7	0	CTCF	1	0.05727095282609566
emissionprobs	7	1	Control	0	0.985663029090792
emissionprobs	7	1	Control	1	0.01433697090920804
emissionprobs	7	2	EZH2	0	0.9688045407808177
emissionprobs	7	2	EZH2	1	0.031195459219182275
emissionprobs	7	3	H2AZ	0	0.9995341888869385
emissionprobs	7	3	H2AZ	1	4.6581111306155193E-4
emissionprobs	7	4	H3K27ac	0	0.9397399159362697
emissionprobs	7	4	H3K27ac	1	0.060260084063730394
emissionprobs	7	5	H3K36me3	0	0.08588090541357819
emissionprobs	7	5	H3K36me3	1	0.9141190945864218
emissionprobs	7	6	H3K4me1	0	0.9728891090792802
emissionprobs	7	6	H3K4me1	1	0.027110890920719822
emissionprobs	7	7	H3K4me2	0	0.9918869979852415
emissionprobs	7	7	H3K4me2	1	0.00811300201475847
emissionprobs	7	8	H3K4me3	0	0.9997083021395123
emissionprobs	7	8	H3K4me3	1	2.9169786048756396E-4
emissionprobs	7	9	H3K9ac	0	0.9524487302546951
emissionprobs	7	9	H3K9ac	1	0.04755126974530492
emissionprobs	7	10	H4K20me1	0	0.3390502626760077
emissionprobs	7	10	H4K20me1	1	0.6609497373239923
emissionprobs	8	0	CTCF	0	0.994946669635935
emissionprobs	8	0	CTCF	1	0.0050533303640649604
emissionprobs	8	1	Control	0	0.9933412192912993
emissionprobs	8	1	Control	1	0.006658780708700694
emissionprobs	8	2	EZH2	0	0.9661552802713729
emissionprobs	8	2	EZH2	1	0.033844719728627216
emissionprobs	8	3	H2AZ	0	0.9994922224997391
emissionprobs	8	3	H2AZ	1	5.07777500260895E-4
emissionprobs	8	4	H3K27ac	0	0.98674728527508
emissionprobs	8	4	H3K27ac	1	0.01325271472492003
emissionprobs	8	5	H3K36me3	0	0.9461740048149025
emissionprobs	8	5	H3K36me3	1	0.05382599518509746
emissionprobs	8	6	H3K4me1	0	0.9883347075571687
emissionprobs	8	6	H3K4me1	1	0.011665292442831364
emissionprobs	8	7	H3K4me2	0	0.9984246350397734
emissionprobs	8	7	H3K4me2	1	0.0015753649602265605
emissionprobs	8	8	H3K4me3	0	0.999992567766187
emissionprobs	8	8	H3K4me3	1	7.432233813053419E-6
emissionprobs	8	9	H3K9ac	0	0.9777608191691305
emissionprobs	8	9	H3K9ac	1	0.022239180830869548
emissionprobs	8	10	H4K20me1	0	0.6119040348003328
emissionprobs	8	10	H4K20me1	1	0.3880959651996671
emissionprobs	9	0	CTCF	0	0.9799254853456273
emissionprobs	9	0	CTCF	1	0.020074514654372735
emissionprobs	9	1	Control	0	0.989606285938558
emissionprobs	9	1	Control	1	0.01039371406144184
emissionprobs	9	2	EZH2	0	0.9581175646568304
emissionprobs	9	2	EZH2	1	0.04188243534316971
emissionprobs	9	3	H2AZ	0	0.99946587762456
emissionprobs	9	3	H2AZ	1	5.341223754400869E-4
emissionprobs	9	4	H3K27ac	0	0.9195458940643619
emissionprobs	9	4	H3K27ac	1	0.08045410593563798
emissionprobs	9	5	H3K36me3	0	0.5575073116388382
emissionprobs	9	5	H3K36me3	1	0.44249268836116173
emissionprobs	9	6	H3K4me1	0	0.30773964351874494
emissionprobs	9	6	H3K4me1	1	0.6922603564812551
emissionprobs	9	7	H3K4me2	0	0.5113832449415646
emissionprobs	9	7	H3K4me2	1	0.4886167550584354
emissionprobs	9	8	H3K4me3	0	0.9628693410309388
emissionprobs	9	8	H3K4me3	1	0.03713065896906123
emissionprobs	9	9	H3K9ac	0	0.9006041300331954
emissionprobs	9	9	H3K9ac	1	0.09939586996680459
emissionprobs	9	10	H4K20me1	0	0.40805119018470754
emissionprobs	9	10	H4K20me1	1	0.5919488098152925
emissionprobs	10	0	CTCF	0	0.9215879770674762
emissionprobs	10	0	CTCF	1	0.07841202293252365
emissionprobs	10	1	Control	0	0.9638164788379968
emissionprobs	10	1	Control	1	0.03618352116200328
emissionprobs	10	2	EZH2	0	0.9276284158340544
emissionprobs	10	2	EZH2	1	0.0723715841659455
emissionprobs	10	3	H2AZ	0	0.9705686864143258
emissionprobs	10	3	H2AZ	1	0.02943131358567414
emissionprobs	10	4	H3K27ac	0	0.44531522482959
emissionprobs	10	4	H3K27ac	1	0.55468477517041
emissionprobs	10	5	H3K36me3	0	0.4698694425132014
emissionprobs	10	5	H3K36me3	1	0.5301305574867986
emissionprobs	10	6	H3K4me1	0	0.018791995799695427
emissionprobs	10	6	H3K4me1	1	0.9812080042003046
emissionprobs	10	7	H3K4me2	0	9.070081883609397E-4
emissionprobs	10	7	H3K4me2	1	0.9990929918116391
emissionprobs	10	8	H3K4me3	0	0.16406510987111633
emissionprobs	10	8	H3K4me3	1	0.8359348901288837
emissionprobs	10	9	H3K9ac	0	0.3073991560707607
emissionprobs	10	9	H3K9ac	1	0.6926008439292392
emissionprobs	10	10	H4K20me1	0	0.2763441900510756
emissionprobs	10	10	H4K20me1	1	0.7236558099489245
emissionprobs	11	0	CTCF	0	0.8465373289445878
emissionprobs	11	0	CTCF	1	0.15346267105541228
emissionprobs	11	1	Control	0	0.9861932550552873
emissionprobs	11	1	Control	1	0.013806744944712776
emissionprobs	11	2	EZH2	0	0.8484796673175099
emissionprobs	11	2	EZH2	1	0.1515203326824902
emissionprobs	11	3	H2AZ	0	0.6432299170296272
