15	11	E	-1.02790835634026E7	153
emissionprobs	4	3	H2AZ	1	0.06847569575492078
emissionprobs	4	4	H3K27ac	0	0.13650617738570012
emissionprobs	4	4	H3K27ac	1	0.8634938226142999
emissionprobs	4	5	H3K36me3	0	0.36485123719821827
emissionprobs	4	5	H3K36me3	1	0.6351487628017817
emissionprobs	4	6	H3K4me1	0	0.03229505474097857
emissionprobs	4	6	H3K4me1	1	0.9677049452590214
emissionprobs	4	7	H3K4me2	0	0.04304399779365
emissionprobs	4	7	H3K4me2	1	0.9569560022063499
emissionprobs	4	8	H3K4me3	0	0.16416987966576596
emissionprobs	4	8	H3K4me3	1	0.835830120334234
emissionprobs	4	9	H3K9ac	0	0.07151508140598047
emissionprobs	4	9	H3K9ac	1	0.9284849185940195
emissionprobs	4	10	H4K20me1	0	0.6065883787610009
emissionprobs	4	10	H4K20me1	1	0.39341162123899914
emissionprobs	5	0	CTCF	0	0.86713431082947
emissionprobs	5	0	CTCF	1	0.13286568917053
emissionprobs	5	1	Control	0	0.9739225531271457
emissionprobs	5	1	Control	1	0.026077446872854234
emissionprobs	5	2	EZH2	0	0.9989599655525754
emissionprobs	5	2	EZH2	1	0.0010400344474246518
emissionprobs	5	3	H2AZ	0	0.9959274890162308
emissionprobs	5	3	H2AZ	1	0.00407251098376913
emissionprobs	5	4	H3K27ac	0	0.48861930230687506
emissionprobs	5	4	H3K27ac	1	0.511380697693125
emissionprobs	5	5	H3K36me3	0	0.40182390933983136
emissionprobs	5	5	H3K36me3	1	0.5981760906601687
emissionprobs	5	6	H3K4me1	0	0.3872953751166018
emissionprobs	5	6	H3K4me1	1	0.6127046248833983
emissionprobs	5	7	H3K4me2	0	0.8008981208407013
emissionprobs	5	7	H3K4me2	1	0.19910187915929867
emissionprobs	5	8	H3K4me3	0	0.962340766919312
emissionprobs	5	8	H3K4me3	1	0.03765923308068786
emissionprobs	5	9	H3K9ac	0	0.8610652483836837
emissionprobs	5	9	H3K9ac	1	0.13893475161631622
emissionprobs	5	10	H4K20me1	0	0.7620856590436639
emissionprobs	5	10	H4K20me1	1	0.23791434095633612
emissionprobs	6	0	CTCF	0	0.8052705801052253
emissionprobs	6	0	CTCF	1	0.1947294198947747
emissionprobs	6	1	Control	0	0.9577474203407117
emissionprobs	6	1	Control	1	0.04225257965928825
emissionprobs	6	2	EZH2	0	0.9948000458615914
emissionprobs	6	2	EZH2	1	0.005199954138408551
emissionprobs	6	3	H2AZ	0	0.6750052090024695
emissionprobs	6	3	H2AZ	1	0.3249947909975305
emissionprobs	6	4	H3K27ac	0	0.07491390266957189
emissionprobs	6	4	H3K27ac	1	0.9250860973304281
emissionprobs	6	5	H3K36me3	0	0.9603549558705021
emissionprobs	6	5	H3K36me3	1	0.039645044129497826
emissionprobs	6	6	H3K4me1	0	0.018431933199444108
emissionprobs	6	6	H3K4me1	1	0.981568066800556
emissionprobs	6	7	H3K4me2	0	0.7328082729555908
emissionprobs	6	7	H3K4me2	1	0.2671917270444092
emissionprobs	6	8	H3K4me3	0	0.9304423676106022
emissionprobs	6	8	H3K4me3	1	0.06955763238939784
emissionprobs	6	9	H3K9ac	0	0.7641209213084454
emissionprobs	6	9	H3K9ac	1	0.23587907869155458
emissionprobs	6	10	H4K20me1	0	0.9854851064909268
emissionprobs	6	10	H4K20me1	1	0.014514893509073217
emissionprobs	7	0	CTCF	0	0.8748176136374108
emissionprobs	7	0	CTCF	1	0.1251823863625892
emissionprobs	7	1	Control	0	0.9579432847812204
emissionprobs	7	1	Control	1	0.04205671521877972
emissionprobs	7	2	EZH2	0	0.9890030686585233
emissionprobs	7	2	EZH2	1	0.010996931341476735
emissionprobs	7	3	H2AZ	0	0.8787444913216123
emissionprobs	7	3	H2AZ	1	0.1212555086783878
emissionprobs	7	4	H3K27ac	0	0.7738870593194294
emissionprobs	7	4	H3K27ac	1	0.2261129406805706
emissionprobs	7	5	H3K36me3	0	0.9854654865841764
emissionprobs	7	5	H3K36me3	1	0.014534513415823503
emissionprobs	7	6	H3K4me1	0	0.6594224554881047
emissionprobs	7	6	H3K4me1	1	0.3405775445118953
